Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,LON-LAB-ARISTA-BL01,Ethernet48,server,host2,eth0,True
l3leaf,LON-LAB-ARISTA-BL01,Ethernet49/1,spine,LON-LAB-ARISTA-SPN01,Ethernet9/1,True
l3leaf,LON-LAB-ARISTA-BL01,Ethernet50/1,spine,LON-LAB-ARISTA-SPN02,Ethernet9/1,True
l3leaf,LON-LAB-ARISTA-LF01,Ethernet49/1,spine,LON-LAB-ARISTA-SPN01,Ethernet1/1,True
l3leaf,LON-LAB-ARISTA-LF01,Ethernet50/1,spine,LON-LAB-ARISTA-SPN02,Ethernet1/1,True
l3leaf,LON-LAB-ARISTA-LF02,Ethernet49/1,spine,LON-LAB-ARISTA-SPN01,Ethernet2/1,True
l3leaf,LON-LAB-ARISTA-LF02,Ethernet50/1,spine,LON-LAB-ARISTA-SPN02,Ethernet2/1,True
spine,LON-LAB-ARISTA-SPN01,Ethernet1/1,l3leaf,LON-LAB-ARISTA-LF01,Ethernet49/1,True
spine,LON-LAB-ARISTA-SPN01,Ethernet2/1,l3leaf,LON-LAB-ARISTA-LF02,Ethernet49/1,True
spine,LON-LAB-ARISTA-SPN01,Ethernet9/1,l3leaf,LON-LAB-ARISTA-BL01,Ethernet49/1,True
spine,LON-LAB-ARISTA-SPN02,Ethernet1/1,l3leaf,LON-LAB-ARISTA-LF01,Ethernet50/1,True
spine,LON-LAB-ARISTA-SPN02,Ethernet2/1,l3leaf,LON-LAB-ARISTA-LF02,Ethernet50/1,True
spine,LON-LAB-ARISTA-SPN02,Ethernet9/1,l3leaf,LON-LAB-ARISTA-BL01,Ethernet50/1,True
